YearsExperience,Education,Age,Salary
13.8,PhD,34,181380
13.3,Postgraduate,36,154909
9.8,Postgraduate,32,129803
4.2,Graduate,32,65731
7.0,Graduate,30,86265
11.2,Postgraduate,34,137517
9.1,Graduate,36,109690
0.9,Graduate,28,33865
7.7,Postgraduate,35,112977
7.7,Graduate,33,96513
9.3,Postgraduate,30,127837
8.8,Graduate,37,106669
17.6,Graduate,44,185493
19.3,Graduate,42,202333
5.0,Postgraduate,26,88121
7.6,PhD,32,127660
11.3,Graduate,33,131058
5.2,Postgraduate,34,82364
19.1,Postgraduate,46,214782
13.8,Graduate,42,153924
6.4,Postgraduate,32,93769
16.1,Graduate,37,171391
3.4,Postgraduate,32,74259
10.1,Graduate,38,118359
12.0,Postgraduate,41,149382
15.4,PhD,44,199356
16.3,Graduate,43,169381
3.8,Graduate,24,59367
14.0,Graduate,37,155037
9.5,Postgraduate,32,130046
5.1,PhD,27,103147
12.2,PhD,39,170303
11.3,Graduate,34,131004
14.6,Postgraduate,36,174134
15.3,Postgraduate,39,180945
6.2,Postgraduate,33,99333
8.2,Postgraduate,37,110402
8.5,Graduate,36,106247
11.8,Postgraduate,39,143279
14.2,Postgraduate,36,168129
18.1,Graduate,39,187171
5.4,Postgraduate,29,92905
8.3,Postgraduate,37,110008
14.7,Postgraduate,42,171915
0.6,Graduate,22,31627
8.4,Graduate,36,99718
5.6,PhD,31,107928
8.1,Graduate,31,98763
1.2,PhD,30,73819
6.4,Postgraduate,34,98573
0.3,PhD,27,58783
3.3,Graduate,26,57394
7.5,Graduate,29,97209
17.3,Graduate,38,178499
8.6,Postgraduate,36,121831
11.9,Postgraduate,35,150251
17.8,PhD,40,218023
14.7,PhD,37,194433
9.3,Graduate,33,111513
10.4,Graduate,36,115682
3.9,Graduate,28,55693
5.6,Graduate,33,72140
13.3,Graduate,37,140516
16.9,Graduate,43,172120
2.4,Postgraduate,31,60091
14.3,Graduate,35,152173
4.8,Graduate,33,70468
1.7,Graduate,22,39426
3.5,Postgraduate,27,71028
6.5,Postgraduate,31,96314
13.1,Postgraduate,39,156727
10.4,Postgraduate,37,132201
11.8,Graduate,37,134499
16.7,PhD,37,211590
18.6,Postgraduate,47,203749
8.8,Graduate,33,101097
9.6,PhD,32,149511
2.2,Graduate,25,49168
1.2,Graduate,23,36388
10.4,Graduate,32,114718
7.9,PhD,29,126623
11.9,Graduate,32,133596
16.9,Graduate,45,174637
6.6,Graduate,27,89052
0.8,Graduate,25,28838
1.8,Postgraduate,26,54994
11.8,Graduate,39,128834
13.9,Graduate,41,146235
14.7,Graduate,37,158754
10.8,Graduate,36,119564
15.0,Graduate,41,162109
16.0,Postgraduate,44,184788
5.6,Graduate,30,78998
1.8,Postgraduate,24,52173
1.1,Graduate,27,31972
14.6,Graduate,43,159702
4.9,Graduate,25,69993
2.4,Postgraduate,27,59786
13.7,Graduate,41,151585
17.1,Graduate,41,183782
11.9,Graduate,39,132635
8.6,Graduate,34,106398
13.1,Graduate,36,147584
2.1,Graduate,30,42288
4.6,PhD,29,98718
12.9,Graduate,39,141002
6.5,Graduate,28,82736
8.9,Postgraduate,34,122494
14.0,Graduate,41,149970
10.2,PhD,39,154088
13.1,Postgraduate,39,162298
10.1,PhD,31,147253
7.9,Postgraduate,35,108499
3.9,Postgraduate,25,71188
19.9,Postgraduate,47,222235
13.8,Graduate,40,153963
14.1,Postgraduate,38,170124
15.0,PhD,37,196342
7.0,Graduate,33,89710
19.3,Graduate,41,202311
19.6,Postgraduate,46,211515
0.7,Postgraduate,26,43291
4.9,Graduate,27,69832
15.8,Graduate,39,163299
2.5,Graduate,23,49549
7.6,Graduate,31,96938
14.8,Graduate,39,158784
10.9,Graduate,37,121224
19.6,PhD,42,233403
0.7,Graduate,26,30275
1.5,Graduate,24,34019
0.2,Postgraduate,27,46469
5.4,Postgraduate,30,85621
3.9,Graduate,30,59286
9.0,Graduate,35,109556
14.3,Graduate,36,152846
1.5,Postgraduate,22,53299
9.2,Postgraduate,33,124027
6.8,Graduate,30,83989
2.6,Postgraduate,23,64514
3.4,Graduate,24,54284
0.5,Postgraduate,23,42845
17.9,Graduate,41,189534
16.8,Postgraduate,45,192152
7.0,Graduate,33,91638
3.1,PhD,26,87672
12.5,Graduate,33,135746
3.8,PhD,26,98982
7.9,Graduate,32,93757
3.8,Postgraduate,29,76251
3.1,Graduate,27,50110
8.8,PhD,36,139166
17.8,Postgraduate,45,202044
1.8,Graduate,23,36493
1.4,Postgraduate,29,53716
12.6,Graduate,34,143118
12.9,Graduate,33,145145
10.4,Postgraduate,39,131164
9.3,Graduate,32,107672
15.1,PhD,43,191897
0.0,Postgraduate,21,36914
13.0,Graduate,34,146813
12.1,Graduate,41,134137
14.2,Graduate,42,150285
0.5,Graduate,29,31296
11.1,Postgraduate,38,139519
19.8,Graduate,48,207998
18.1,Graduate,47,183629
0.2,Graduate,27,22070
14.9,PhD,41,191803
10.5,Postgraduate,38,135188
18.5,Postgraduate,43,205534
4.6,Graduate,32,61866
9.9,Graduate,34,112782
15.1,Graduate,38,162033
11.4,Graduate,40,130906
3.8,Postgraduate,25,69372
19.2,Graduate,46,194920
8.9,Graduate,36,102670
2.6,Graduate,30,52668
16.7,Graduate,41,176986
5.4,Graduate,33,72863
10.5,Graduate,37,118440
13.4,PhD,37,177848
11.4,Graduate,35,126220
4.8,Graduate,29,65153
8.0,Postgraduate,37,107247
13.2,Graduate,40,139521
3.3,Postgraduate,27,65658
0.4,Graduate,28,25188
14.7,Postgraduate,43,172528
11.0,Postgraduate,40,141941
10.6,Graduate,39,120419
5.8,Postgraduate,30,93471
0.8,Graduate,29,32054
11.4,Graduate,35,124338
14.9,PhD,43,194719
17.0,PhD,38,209417
7.7,Postgraduate,34,107186
6.3,Graduate,35,85906
14.6,PhD,41,191324
1.4,Postgraduate,23,56435
10.5,Graduate,33,117788
10.0,Graduate,32,110411
11.8,Graduate,37,126638
9.2,Postgraduate,34,127482
18.3,PhD,40,222701
11.0,Graduate,33,123191
9.2,Graduate,31,109687
5.5,PhD,32,113778
17.1,Postgraduate,43,198561
7.2,Graduate,35,94215
18.4,Graduate,41,187575
0.6,Postgraduate,22,43549
7.6,Graduate,32,96489
11.5,Graduate,34,127290
17.3,Postgraduate,43,192116
6.2,Graduate,29,80706
1.5,Graduate,24,34935
13.4,Graduate,42,141739
11.9,Graduate,38,128885
3.7,Graduate,31,56991
11.9,Graduate,40,132948
12.0,Postgraduate,36,145014
15.4,PhD,38,199852
10.0,Postgraduate,31,132252
12.7,Graduate,38,144078
4.3,Graduate,26,60039
0.2,Postgraduate,28,38377
9.0,Postgraduate,36,116690
7.7,Postgraduate,29,107275
4.1,Graduate,32,59889
11.5,PhD,38,159058
1.2,Graduate,22,37339
16.9,Graduate,44,176529
18.6,Graduate,45,193261
7.5,Graduate,36,97213
19.2,Graduate,48,201112
12.3,Graduate,34,138264
7.8,Postgraduate,31,110014
4.5,PhD,29,99736
7.0,PhD,33,124347
19.2,Postgraduate,42,210046
3.0,Graduate,24,49364
4.4,Graduate,28,63900
2.6,Graduate,30,53162
4.7,Postgraduate,25,80144
15.2,Postgraduate,38,176040
17.4,Graduate,38,179055
4.2,Graduate,30,63573
8.4,Graduate,32,101053
10.9,Graduate,34,119551
18.6,Postgraduate,43,206446
11.2,Postgraduate,37,141212
7.9,Graduate,31,94704
15.7,Graduate,42,163161
15.8,Graduate,43,169104
2.1,Graduate,31,42151
19.9,Graduate,43,208698
10.5,Postgraduate,32,133776
5.0,Postgraduate,32,80327
6.5,Graduate,34,84977
10.1,Graduate,38,115254
3.1,Graduate,25,56979
5.8,Graduate,29,76426
1.3,Postgraduate,28,56117
11.4,PhD,39,167455
1.7,Postgraduate,22,56489
14.3,Graduate,39,150001
15.4,Graduate,39,168489
14.3,Postgraduate,37,167430
18.8,Postgraduate,39,213953
10.6,Postgraduate,31,139795
2.6,Postgraduate,23,62351
2.4,Graduate,25,46968
5.2,Postgraduate,28,85232
17.2,Postgraduate,45,190295
15.9,Postgraduate,42,187551
18.9,PhD,42,234960
8.8,PhD,34,140666
12.1,Graduate,33,138279
11.8,Postgraduate,37,147382
1.2,Graduate,29,32927
6.3,Graduate,31,83227
19.9,Graduate,45,206065
6.1,Graduate,33,81542
12.9,Postgraduate,35,159337
1.5,Graduate,27,38084
7.9,PhD,35,132334
7.9,Graduate,28,96541
6.5,Graduate,28,81756
5.2,Postgraduate,27,89588
17.4,Graduate,42,181685
6.3,Graduate,29,84343
4.9,Graduate,26,71849
18.3,Postgraduate,40,207363
14.1,Graduate,40,153646
2.8,PhD,28,81291
10.5,Postgraduate,35,132936
12.2,Graduate,40,129874
12.9,Graduate,39,143775
11.0,Graduate,37,119239
6.8,Graduate,27,87363
18.2,PhD,47,222183
4.8,Postgraduate,32,84356
10.4,PhD,32,154465
1.1,Graduate,28,31355
11.1,Postgraduate,36,141819
17.4,Graduate,43,178044
7.0,PhD,35,118127
0.8,Graduate,26,33319
13.3,Postgraduate,37,163020
10.7,Postgraduate,36,136141
0.1,Postgraduate,28,37154
8.2,Graduate,36,98938
4.6,Postgraduate,27,79871
0.2,Graduate,21,28221
4.6,Graduate,26,67968
17.1,Postgraduate,40,194242
2.1,Graduate,25,43053
13.2,Graduate,40,144494
17.2,Graduate,43,182114
2.2,PhD,30,81143
1.2,Graduate,26,34804
1.1,Graduate,28,32943
5.8,Graduate,28,76175
19.8,Graduate,47,207980
13.6,Graduate,36,150223
4.9,Graduate,27,72076
3.6,Postgraduate,26,76516
4.2,PhD,32,97039
13.8,Graduate,41,150461
15.2,Graduate,36,166620
19.4,Graduate,43,196115
19.6,Postgraduate,43,214528
7.6,Graduate,29,91883
10.2,Graduate,37,113412
11.3,Postgraduate,35,142356
8.8,Graduate,30,100676
0.2,Graduate,28,23536
12.3,Graduate,38,135578
17.1,Postgraduate,40,198620
17.5,Postgraduate,38,198643
2.0,Graduate,27,44486
4.3,Graduate,26,67621
13.4,Postgraduate,38,162335
3.0,Postgraduate,24,67066
17.0,Graduate,41,180793
17.1,Graduate,44,174601
7.9,Graduate,32,97778
6.2,Graduate,34,77549
5.7,Postgraduate,34,87330
19.6,Graduate,48,200994
7.7,Postgraduate,35,106710
16.2,Graduate,45,173617
0.2,Postgraduate,25,46277
13.7,Graduate,40,151975
2.5,Postgraduate,27,67153
14.0,Graduate,41,151911
8.7,Postgraduate,33,116781
1.3,Postgraduate,26,54600
9.4,Postgraduate,37,126328
15.2,Postgraduate,40,180538
7.6,PhD,28,124351
1.9,Postgraduate,27,53502
12.8,Postgraduate,38,156632
6.6,Graduate,33,83671
0.8,Postgraduate,23,47121
5.7,Postgraduate,34,95239
13.7,Postgraduate,37,162829
15.1,PhD,36,200769
9.9,Postgraduate,30,128992
3.7,Graduate,24,58355
10.7,Postgraduate,39,132278
9.5,Graduate,33,105623
18.1,PhD,47,222967
18.7,Postgraduate,39,208249
16.4,Graduate,44,172272
3.7,Postgraduate,25,69534
0.9,PhD,25,71152
3.6,Postgraduate,25,73089
3.6,Graduate,28,60271
15.8,Postgraduate,40,178774
4.9,Graduate,30,70585
17.3,Graduate,45,179638
19.0,Postgraduate,47,210194
10.3,PhD,32,155271
19.5,Graduate,42,204721
11.4,Postgraduate,38,141546
4.6,PhD,30,99580
2.1,PhD,24,78253
19.4,Graduate,44,197622
1.5,Graduate,27,40943
15.0,PhD,40,196317
18.1,Postgraduate,40,198350
12.5,Graduate,35,133259
17.6,PhD,42,220330
14.8,Postgraduate,42,176730
11.7,Postgraduate,32,149429
8.3,Postgraduate,30,118492
3.3,Graduate,24,53953
6.6,PhD,27,122951
10.0,Graduate,36,119341
8.9,Graduate,29,109746
1.6,Graduate,23,42178
6.9,Graduate,34,86722
0.5,Postgraduate,28,44926
19.3,PhD,42,230855
2.4,Graduate,25,42538
9.8,Postgraduate,38,126364
15.4,Graduate,42,168301
13.1,Graduate,35,141480
1.7,Postgraduate,27,51758
13.5,Graduate,40,147628
18.6,Graduate,45,191639
3.6,Graduate,28,55912
0.1,Graduate,24,24107
12.3,Graduate,40,138097
6.5,Postgraduate,34,93811
14.7,Graduate,43,152398
8.6,Graduate,31,106096
12.4,Graduate,35,134025
10.8,Postgraduate,39,135245
